SPEKAER_ID; TEXTS; FREELOCCODE; AREA; COUNTY; LOC; SPEAKER_AGE; SPEAKER_DOB; SPEAKER_DECADE; SPEKAER_SEX; REC_DATE; REC_DECADE; EEXTENT; R
NotA40 ; NTT_004 ; Mid Nottinghamshire Nottingham ; Mid ; Nottinghamshire ; Nottingham ; 66 ; 1917 ; 191 ; m ; 1983 ; 198 ; 4967
NotA52 ; NTT_005 ; Mid Nottinghamshire Southwell ; Mid ; Nottinghamshire ; Southwell ; 85 ; 1898 ; 189 ; m ; 1983 ; 198 ; 11918
NotA58 ; NTT_006 ; Mid Nottinghamshire Nottingham ; Mid ; Nottinghamshire ; Nottingham ; 81 ; 1902 ; 190 ; f ; 1983 ; 198 ; 14384
NotA65 ; NTT_007 ; Mid Nottinghamshire Nottingham ; Mid ; Nottinghamshire ; Nottingham ; 86 ; 1897 ; 189 ; f ; 1983 ; 198 ; 7004
NotA71 ; NTT_008 ; Mid Nottinghamshire Nottingham ; Mid ; Nottinghamshire ; Nottingham ; 81 ; 1902 ; 190 ; m ; 1983 ; 198 ; 5527
NotA80 ; NTT_009 ; Mid Nottinghamshire Nottingham ; Mid ; Nottinghamshire ; Nottingham ; 78 ; 1906 ; 190 ; f ; 1984 ; 198 ; 8622
NotA85 ; NTT_010 ; Mid Nottinghamshire Nottingham ; Mid ; Nottinghamshire ; Nottingham ; 72 ; 1912 ; 191 ; f ; 1984 ; 198 ; 9421
NotA99 ; NTT_011 ; Mid Nottinghamshire Nottingham ; Mid ; Nottinghamshire ; Nottingham ; 91 ; 1893 ; 189 ; m ; 1984 ; 198 ; 9172
ALI ; NTT_012 ; Mid Nottinghamshire Nottingham ; Mid ; Nottinghamshire ; Nottingham ; 78 ; 1906 ; 190 ; f ; 1984 ; 198 ; 8441
NotA8 ; NTT_013 ; Mid Nottinghamshire Nottingham ; Mid ; Nottinghamshire ; Nottingham ;  ; 1908 ; 190 ; m ;  ; 198 ; 13260
A15 ; NTT_014 ; Mid Nottinghamshire  ; Mid ; Nottinghamshire ;  ; 71 ; 1911 ; 191 ; m ; 1982 ; 198 ; 15695
A109 ; NTT_015 ; Mid Nottinghamshire Lambley ; Mid ; Nottinghamshire ; Lambley ;  ; 1912 ; 191 ; m ;  ; 198 ; 10486
A109w ; NTT_015 ; Mid Nottinghamshire Lambley ; Mid ; Nottinghamshire ; Lambley ;  ; 1912 ; 191 ; f ;  ; 198 ; 1396
NotA48 ; NTT_016 ; mid Nottinghamshire Nottingham ; mid ; Nottinghamshire ; Nottingham ;  ; 1884 ; 188 ; m ;  ; 198 ; 14459
IBMrsA ; SAL_001 ; Mid Shropshire Coalport ; Mid ; Shropshire ; Coalport ; 76 ; 1902 ; 190 ; f ; 1978 ;  ; 764
IBBB ; SAL_002,SAL_003 ; Mid Shropshire Coalport ; Mid ; Shropshire ; Coalport ; 86 ; 1889 ; 188 ; m ; 1975 ; 197 ; 6587
IBWB ; SAL_004 ; Mid Shropshire Coalbrookdale ; Mid ; Shropshire ; Coalbrookdale ; 78 ; 1906 ; 190 ; m ; 1984 ; 197 ; 4790
IBCB ; SAL_005 ; Mid Shropshire Dawley ; Mid ; Shropshire ; Dawley ; 88 ; 1893 ; 189 ; m ; 1981 ; 198 ; 2605
IBNB ; SAL_006 ; Mid Shropshire Dawley ; Mid ; Shropshire ; Dawley ; 83 ; 1901 ; 190 ; m ; 1984 ; 198 ; 4982
IBIB ; SAL_007 ; Mid Shropshire Broseley ; Mid ; Shropshire ; Broseley ;  ;  ;  ; f ; 1991 ; 198 ; 1897
IBJ ; SAL_007 ; Mid Shropshire Broseley ; Mid ; Shropshire ; Broseley ;  ;  ;  ;  ; 1991 ; 198 ; 24
NBall ; SAL_007 ; Mid Shropshire Broseley ; Mid ; Shropshire ; Broseley ;  ;  ;  ;  ; 1991 ; 198 ; 5
IBAB ; SAL_008 ; Mid Shropshire Dawley ; Mid ; Shropshire ; Dawley ;  ;  ;  ; m ; 1988 ; 199 ; 4971
IBGB ; SAL_009 ; Mid Shropshire Madeley ; Mid ; Shropshire ; Madeley ; 91 ; 1902 ; 190 ; m ; 1993 ; 198 ; 2941
IBLB ; SAL_010 ; Mid Shropshire Madeley ; Mid ; Shropshire ; Madeley ; 81 ; 1913 ; 191 ; f ; 1994 ; 199 ; 1501
IBBeBo ; SAL_011 ; Mid Shropshire Wellington ; Mid ; Shropshire ; Wellington ; 91 ; 1903 ; 190 ; m ; 1994 ; 199 ; 7416
IBPB ; SAL_012 ; Mid Shropshire Shifnal ; Mid ; Shropshire ; Shifnal ; 88 ; 1907 ; 190 ; f ; 1995 ; 199 ; 1768
