SPEKAER_ID; TEXTS; FREELOCCODE; AREA; COUNTY; LOC; SPEAKER_AGE; SPEAKER_DOB; SPEAKER_DECADE; SPEKAER_SEX; REC_DATE; REC_DECADE; EEXTENT; R
SRLM_CH ; SOM_008 ; SW Somerset Petherton ; SW ; Somerset ; Petherton ; 86 ; 1904 ; 190 ; m ; 1990 ; 198 ; 5499
SRLM_ES ; SOM_008,SOM_036 ; SW Somerset Petherton ; SW ; Somerset ; Petherton ;  ;  ;  ;  ; 1990 ; 198 ; 3565
SRLM_CA ; SOM_009 ; SW Somerset Horton ; SW ; Somerset ; Horton ; 75 ; 1916 ; 191 ; m ; 1991 ; 199 ; 10652
SRLM_WB ; SOM_010,SOM_011 ; SW Somerset Compton_Dundon ; SW ; Somerset ; Compton_Dundon ; 76 ; 1904 ; 190 ; m ; 1980 ; 199 ; 24872
SRLM_SH ; SOM_012 ; SW Somerset Buckleigh ; SW ; Somerset ; Buckleigh ; 68 ; 1927 ; 192 ; m ; 1995 ; 198 ; 6345
SRLM_GG ; SOM_013 ; SW Somerset Yeovil ; SW ; Somerset ; Yeovil ; 78 ; 1918 ; 191 ; m ; 1996 ; 199 ; 4597
SRLM_RM ; SOM_014 ; SW Somerset Barton_St._David ; SW ; Somerset ; Barton_St._David ; 78 ; 1902 ; 190 ; m ; 1980 ; 199 ; 10531
M ; SOM_014 ; SW Somerset Barton_St._David ; SW ; Somerset ; Barton_St._David ; 78 ; 1902 ; 190 ; f ; 1980 ; 199 ; 
SRLM_HH ; SOM_015 ; SW Somerset Hatch_Beauchamp ; SW ; Somerset ; Hatch_Beauchamp ; 84 ; 1889 ; 188 ; m ; 1973 ; 198 ; 2697
SRLM_WP ; SOM_016 ; SW Somerset Stoke_St._Gregory ; SW ; Somerset ; Stoke_St._Gregory ; 89 ; 1884 ; 188 ; m ; 1973 ; 197 ; 3135
SRLM_LD ; SOM_017 ; SW Somerset Baltonsborough ; SW ; Somerset ; Baltonsborough ; 85 ; 1888 ; 188 ; m ; 1973 ; 197 ; 3277
SRLM_AB ; SOM_018 ; SW Somerset Fivehead ; SW ; Somerset ; Fivehead ; 72 ; 1901 ; 190 ; m ; 1973 ; 197 ; 2852
SRLM_W ; SOM_019 ; SW Somerset Coley ; SW ; Somerset ; Coley ;  ;  ;  ; m ; 1973 ; 197 ; 11318
SRLM_AE ; SOM_020 ; SW Somerset Moorwood_Oakhill ; SW ; Somerset ; Moorwood_Oakhill ; 86 ; 1892 ; 189 ; m ; 1978 ; 197 ; 3402
SRLM_R ; SOM_021 ; SW Somerset Ashwick ; SW ; Somerset ; Ashwick ;  ;  ;  ; m ; 1978 ; 197 ; 6976
SRLM_T ; SOM_022 ; SW Somerset Churchingfold_Beaminster ; SW ; Somerset ; Churchingfold_Beaminster ;  ;  ;  ; m ; 1968 ; 197 ; 1345
SRLM_S ; SOM_022 ; SW Somerset Churchingfold_Beaminster ; SW ; Somerset ; Churchingfold_Beaminster ;  ;  ;  ; m ; 1968 ; 197 ; 1252
SRLM_M ; SOM_023 ; SW Somerset Wedmore ; SW ; Somerset ; Wedmore ;  ;  ;  ; f ; 1983 ; 196 ; 931
SRLM_CM ; SOM_023 ; SW Somerset Wedmore ; SW ; Somerset ; Wedmore ;  ;  ;  ; m ; 1983 ; 196 ; 754
SRLM_HM ; SOM_024 ; SW Somerset North_Bridgwater ; SW ; Somerset ; North_Bridgwater ; 81 ; 1902 ; 190 ; m ; 1983 ; 198 ; 4132
SRLM_CJ ; SOM_025 ; SW Somerset  ; SW ; Somerset ;  ;  ;  ;  ; m ; 1983 ; 198 ; 1066
SRLM_HC ; SOM_026 ; SW Somerset North_Curry ; SW ; Somerset ; North_Curry ; 71 ; 1912 ; 191 ; m ; 1983 ; 198 ; 1578
SRLM_TP ; SOM_027 ; SW Somerset Kingston_Seymour ; SW ; Somerset ; Kingston_Seymour ; 81 ; 1904 ; 190 ; m ; 1985 ; 198 ; 1525
SRLM_GP ; SOM_027 ; SW Somerset Kingston_Seymour ; SW ; Somerset ; Kingston_Seymour ;  ;  ;  ; f ; 1985 ; 198 ; 1549
SRLM_WT ; SOM_028 ; SW Somerset Bridgwater ; SW ; Somerset ; Bridgwater ; 87 ; 1897 ; 189 ; m ; 1984 ; 198 ; 14014
SRLM_JA ; SOM_029 ; SW Somerset Evercreech ; SW ; Somerset ; Evercreech ; 70 ; 1915 ; 191 ; m ; 1985 ; 198 ; 6716
SRLM_HW ; SOM_030 ; SW Somerset Henley ; SW ; Somerset ; Henley ; 88 ; 1897 ; 189 ; m ; 1985 ; 198 ; 4455
W ; SOM_030 ; SW Somerset Henley ; SW ; Somerset ; Henley ;  ;  ;  ;  ; 1985 ; 198 ; 396
SRLM_Y ; SOM_031 ; SW Somerset Galhampton ; SW ; Somerset ; Galhampton ; 83 ; 1894 ; 189 ; m ; 1981 ; 198 ; 5632
SRLM_HG ; SOM_032 ; SW Somerset Butleigh ; SW ; Somerset ; Butleigh ; 82 ; 1904 ; 190 ; m ; 1986 ; 198 ; 8869
SRLM_EC ; SOM_033 ; SW Somerset Glastonbury ; SW ; Somerset ; Glastonbury ; 72 ; 1923 ; 192 ; m ; 1995 ; 198 ; 8016
SRLM_EW ; SOM_034 ; SW Somerset North_Petherton ; SW ; Somerset ; North_Petherton ; 83 ; 1910 ; 191 ; f ; 1993 ; 199 ; 2971
SRLM_SC ; SOM_035 ; SW Somerset Glastonbury ; SW ; Somerset ; Glastonbury ; 80 ; 1914 ; 191 ; m ; 1994 ; 199 ; 3523
TrbrGR ; WIL_001 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 85 ; 1907 ; 190 ; m ; 1992 ; 198 ; 12107
TrbrJH ; WIL_002 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 58 ; 1934 ; 193 ; f ; 1992 ; 199 ; 5967
TrbrJS ; WIL_003 ; SW Wiltshire Westbury ; SW ; Wiltshire ; Westbury ;  ;  ;  ; m ; 1987 ; 199 ; 9254
TrbrDP ; WIL_004 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 80 ; 1912 ; 191 ; m ; 1992 ; 198 ; 7834
TrbrCS ; WIL_005 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 91 ; 1901 ; 190 ; m ; 1992 ; 199 ; 7984
TrbrViv ; WIL_005 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ;  ;  ;  ; f ; 1992 ; 199 ; 97
TrbrD1 ; WIL_005 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ;  ;  ;  ; f ; 1992 ; 199 ; 1911
TrbrD2 ; WIL_005 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ;  ;  ;  ; f ; 1992 ; 199 ; 109
TrbrCN ; WIL_005 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ;  ;  ;  ;  ; 1992 ; 199 ; 5
TrbrLW ; WIL_005 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ;  ;  ;  ; f ; 1992 ; 199 ; 57
TrbrDH ; WIL_005 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ;  ;  ;  ;  ; 1992 ; 199 ; 11
TrbrGSR ; WIL_006 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 66 ; 1926 ; 192 ; m ; 1992 ; 199 ; 7662
TrbrBJ ; WIL_007 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ;  ;  ;  ; m ; 1992 ; 199 ; 3938
TrbrKJ ; WIL_007 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 52 ; 1940 ; 194 ; f ; 1992 ; 199 ; 1709
TrbrRCC ; WIL_008 ; SW Wiltshire Westbury ; SW ; Wiltshire ; Westbury ; 71 ; 1922 ; 192 ; m ; 1993 ; 199 ; 12930
WflsFP ; WIL_009 ; SW Wiltshire Enford ; SW ; Wiltshire ; Enford ;  ; 1914 ; 191 ; m ;  ; 199 ; 4048
Y ; WIL_009 ; SW Wiltshire Enford ; SW ; Wiltshire ; Enford ;  ;  ;  ; f ;  ; 199 ; 219
WflsWGP ; WIL_010 ; SW Wiltshire Urchfont ; SW ; Wiltshire ; Urchfont ;  ;  ; 189 ; m ; 1982 ;  ; 4507
WflsWH ; WIL_011 ; SW Wiltshire Edington ; SW ; Wiltshire ; Edington ; 86 ; 1900 ; 190 ; m ;  ; 198 ; 3183
WflsGW ; WIL_011 ; SW Wiltshire Edington ; SW ; Wiltshire ; Edington ;  ;  ;  ; m ;  ; 198 ; 1387
WflsEF ; WIL_012 ; SW Wiltshire Donhead_St._Andrew ; SW ; Wiltshire ; Donhead_St._Andrew ; 93 ; 1890 ; 189 ; f ; 1983 ; 198 ; 2503
TrbrVL ; WIL_013 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 78 ; 1914 ; 191 ; f ; 1992 ; 198 ; 1093
TrbrGHG ; WIL_014 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 79 ; 1913 ; 191 ; m ; 1992 ; 199 ; 4269
TrbrEGC ; WIL_015,WIL_016 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 83 ; 1909 ; 190 ; m ; 1992 ; 199 ; 15065
TrbrAH ; WIL_017 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ;  ;  ;  ; f ; 1992 ; 199 ; 4952
TrbrQD ; WIL_017 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ;  ;  ;  ; f ; 1992 ; 199 ; 4432
TrbrBC ; WIL_017 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ;  ;  ;  ; f ; 1992 ; 199 ; 867
TrbrDC ; WIL_018 ; SW Wiltshire Melksham ; SW ; Wiltshire ; Melksham ;  ; 1909 ; 190 ; f ; 1982 ; 199 ; 11881
ML ; WIL_018 ; SW Wiltshire Melksham ; SW ; Wiltshire ; Melksham ;  ;  ;  ;  ; 1982 ; 199 ; 62
Jack ; WIL_018 ; SW Wiltshire Melksham ; SW ; Wiltshire ; Melksham ;  ;  ;  ; m ; 1982 ; 199 ; 183
TrbrKM ; WIL_019 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 92 ; 1901 ; 190 ; f ; 1993 ; 198 ; 5208
TrbrRS ; WIL_020,WIL_021 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 79 ; 1914 ; 191 ; m ; 1993 ; 199 ; 2710
TrbrS ; WIL_021 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 73 ; 1920 ; 192 ; f ; 1993 ; 199 ; 1151
TrbrFC ; WIL_022 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 71 ; 1923 ; 192 ; m ; 1994 ; 199 ; 17690
TrbrJC ; WIL_022 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 61 ; 1933 ; 193 ; f ; 1994 ; 199 ; 6445
TrbrAS ; WIL_023 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 81 ; 1913 ; 191 ; f ; 1994 ; 199 ; 8061
TrbrIS ; WIL_024 ; SW Wiltshire Trowbridge ; SW ; Wiltshire ; Trowbridge ; 74 ; 1920 ; 192 ; m ; 1994 ; 199 ; 4973
AL ; DEN_001 ; Wal Denbighshire Conwy ; Wal ; Denbighshire ; Conwy ;  ;  ; 189 ; f ;  ; 199 ; 5562
GwyBV ; DEN_002 ; Wal Denbighshire  ; Wal ; Denbighshire ;  ;  ; 1904 ; 190 ; m ;  ;  ; 7218
GwyHHJ ; DEN_003 ; Wal Denbighshire  ; Wal ; Denbighshire ;  ;  ;  ;  ; m ;  ;  ; 8057
GwyME ; DEN_003 ; Wal Denbighshire  ; Wal ; Denbighshire ;  ;  ;  ;  ; m ;  ;  ; 513
GwyWL ; DEN_003 ; Wal Denbighshire  ; Wal ; Denbighshire ;  ;  ; 1912 ; 191 ; m ;  ;  ; 2272
GwyR ; DEN_004 ; Wal Denbighshire  ; Wal ; Denbighshire ;  ; 87 ;  ;  ; f ;  ;  ; 13662
CwmWTC ; GLA_001 ; Wal Glamorganshire Cwmfelin ; Wal ; Glamorganshire ; Cwmfelin ; 89 ; 1884 ; 188 ; m ; 1973 ;  ; 6755
BedHT ; GLA_002 ; Wal Glamorganshire Bedlinog ; Wal ; Glamorganshire ; Bedlinog ; 78 ; 1896 ; 189 ; m ; 1974 ; 197 ; 8463
SwanBE ; GLA_003 ; Wal Glamorganshire Swansea ; Wal ; Glamorganshire ; Swansea ; 87 ; 1886 ; 188 ; m ; 1973 ; 197 ; 7896
WalWTA ; GLA_004 ; Wal Glamorgan Bishopston ; Wal ; Glamorgan ; Bishopston ;  ;  ;  ; m ; 1975 ; 197 ; 5505
WalDJN ; GLA_005 ; Wal Glamorgan Plasmarl ; Wal ; Glamorgan ; Plasmarl ; 81 ; 1895 ; 189 ; m ; 1976 ; 197 ; 8712
WalDTC ; GLA_006 ; Wal Glamorgan Townhill ; Wal ; Glamorgan ; Townhill ; 77 ; 1899 ; 189 ; m ; 1976 ; 197 ; 5469
WalJSD ; GLA_007 ; Wal Glamorgan Pontardulais ; Wal ; Glamorgan ; Pontardulais ; 78 ; 1898 ; 189 ; m ; 1976 ; 197 ; 8671
